Index|Lesson|Unit|Dialogue|Korean|English|Hanja|Explanation|Example|Translation
1|1|1|Dialogue|기술|technology|技術|skill, technique|최신 기술로 만든 제품입니다.|It's a product made with the latest technology.
2|1|1|Dialogue|꿈|dream||native Korean root|어릴 때부터 의사가 되는 꿈을 꾸었어요.|I've dreamed of becoming a doctor since I was young.
3|1|1|Dialogue|동기|classmate|同期|same, period|대학교 동기들과 모임을 가졌어요.|I had a gathering with my university classmates.
4|1|1|Dialogue|신입생|new student|新入生|new, enter, student|신입생 환영회가 내일 있습니다.|The new student welcome party is tomorrow.
5|1|1|Dialogue|전문가|specialist|專門家|special, gate, person|이 분야의 전문가에게 조언을 구했어요.|I sought advice from a specialist in this field.
6|1|1|Dialogue|정보|information|情報|emotion, report|유용한 정보를 찾고 있어요.|I'm looking for useful information.
7|1|1|Dialogue|학과|department|學科|study, subject|어느 학과에 지원할 예정이에요?|Which department are you planning to apply to?
8|1|1|Dialogue|입학하다|to enroll|入學하다|enter, study, do|작년에 서울대학교에 입학했어요.|I enrolled at Seoul National University last year.
9|1|1|Expanded|강의|lecture|講義|speak, meaning|오늘 강의가 취소되었어요.|Today's lecture was cancelled.
10|1|1|Expanded|과목|subject|科目|section, item|이번 학기에 몇 과목을 듣고 있어요?|How many subjects are you taking this semester?
11|1|1|Expanded|새내기|freshman||new, sprout|새내기들을 위한 오리엔테이션이 있어요.|There's an orientation for freshmen.
12|1|1|Expanded|성적|grades|成績|achieve, record|이번 시험 성적이 좋지 않았어요.|My exam grades weren't good this time.
13|1|1|Expanded|입학식|enrollment ceremony|入學式|enter, study, ceremony|입학식에서 부모님과 사진을 찍었어요.|I took photos with my parents at the enrollment ceremony.
14|1|1|Expanded|장학금|scholarship|獎學金|reward, study, money|장학금을 받아서 학비가 줄었어요.|I received a scholarship, so my tuition decreased.
15|1|1|Expanded|재학생|enrolled student|在學生|be, study, student|재학생만 도서관을 이용할 수 있어요.|Only enrolled students can use the library.
16|1|1|Expanded|졸업생|graduate|卒業生|finish, work, student|유명한 졸업생들의 사진이 걸려 있어요.|Photos of famous graduates are hanging there.
17|1|2|Dialogue|실력|skills|實力|real, power|한국어 실력이 많이 늘었네요.|Your Korean skills have improved a lot.
18|1|2|Dialogue|최선|best|最善|most, good|최선을 다해서 준비했어요.|I prepared by doing my best.
19|1|2|Dialogue|궁금하다|to be curious|窮金하다|poor, money, do|결과가 궁금해서 잠이 안 와요.|I can't sleep because I'm curious about the results.
20|1|2|Dialogue|긴장되다|to be nervous|緊張되다|tight, stretch, become|면접 때문에 많이 긴장돼요.|I'm very nervous because of the interview.
21|1|2|Dialogue|낯설다|to be unfamiliar||face, strange|새로운 환경이 아직 낯설어요.|The new environment is still unfamiliar.
22|1|2|Dialogue|뛰어나다|to be excellent||jump, out|그 학생은 수학이 뛰어나요.|That student is excellent at mathematics.
23|1|2|Dialogue|입사하다|to join a company|入社하다|enter, company, do|다음 달에 새 회사에 입사해요.|I'm joining a new company next month.
24|1|2|Dialogue|지내보다|to get along with||pass, see|새로운 동료들과 잘 지내봐야겠어요.|I should try to get along well with my new colleagues.
25|1|2|Expanded|사회생활|social life|社會生活|company, meeting, life, live|사회생활을 시작하니까 힘들어요.|Starting social life is difficult.
26|1|2|Expanded|생년월일|date of birth|生年月日|life, year, month, day|이력서에 생년월일을 써 주세요.|Please write your date of birth on the resume.
27|1|2|Expanded|성별|gender|性別|nature, separate|성별을 표시하지 않아도 됩니다.|You don't need to indicate gender.
28|1|2|Expanded|이력서|resume|履歷書|履歷書|walk, experience, document|이력서를 한국어로 써야 해요.
29|1|2|Expanded|자기소개|self-introduction|自己紹介|self, self, introduce, open|간단하게 자기소개를 해 주세요.|Please give a brief self-introduction.
30|1|2|Expanded|특기|special ability|特技|special, skill|특기가 피아노 연주예요.|My special ability is playing the piano.
31|1|2|Expanded|학력|level of education|學力|study, power|학력보다 경험이 중요해요.|Experience is more important than educational level.
32|1|2|Expanded|도전하다|to challenge|挑戰하다|challenge, war, do|새로운 일에 도전하고 싶어요.|I want to challenge myself with new work.
33|1|2|Expanded|합격하다|to pass|合格하다|fit, qualify, do|시험에 합격해서 기뻐요.|I'm happy because I passed the exam.
34|2|1|Dialogue|개인적|personal|個人的|individual, person, -like|개인적인 문제로 상담을 받고 있어요.|I'm receiving counseling for personal issues.
35|2|1|Dialogue|상담|counseling|相談|mutual, talk|진로 상담을 받고 싶어요.|I want to receive career counseling.
36|2|1|Dialogue|상담실|counseling office|相談室|mutual, talk, room|상담실은 2층에 있어요.|The counseling office is on the second floor.
37|2|1|Dialogue|일정표|schedule|日程表|day, journey, table|일정표를 확인해 보세요.|Please check the schedule.
38|2|1|Dialogue|가능하다|to be possible|可能하다|able, ability, do|내일 만나는 것이 가능해요?|Is it possible to meet tomorrow?
